date;open;high;low;close;vol;target
20140616;2092,2;2153,3;2067,3;2149;3720757;0
20140617;2205,1;2205,1;2122,5;2130;1494451;0
20140618;2135;2152,3;2121,8;2126,9;1129635;0
20140619;2140;2147,9;2112;2112,1;1140105;0
20140620;2119;2127,3;2086,1;2100;1067446;0
20140623;2122,6;2122,6;2073,5;2082,6;1145096;1
20140624;2084,3;2105;2078;2099,1;1140093;0
20140625;2087,2;2103,9;2035,1;2037,4;1263150;0
20140626;2049;2061,4;2021,6;2028,6;1666665;0
20140627;2030,7;2036,5;2007;2021;760846;1
20140630;2020,5;2036;2012;2036;720849;1
20140701;2035,1;2065,4;2022,3;2063,9;986895;1
20140702;2065,9;2110,3;2060,9;2110;1034589;0
20140703;2113;2114,3;2086;2089,9;644019;0
20140704;2095;2100,9;2048,2;2062,9;809144;1
20140707;2062;2126;2055,9;2113;1080900;1
20140708;2112,6;2143;2112,6;2122,9;1080527;0
20140709;2120,5;2120,9;2075,2;2104,9;927449;0
20140710;2104,8;2115,4;2065;2093,2;1196359;1
20140711;2100,1;2113,9;2082,1;2105;1292720;0
20140714;2055;2073,1;2015,3;2016,5;1447650;1
20140715;2017,8;2043;2006;2018;1299149;1
20140716;2018;2054,9;2009,7;2050,8;1341344;0
20140717;2030;2045;1975,4;2004,8;2070446;1
20140718;1971;1996;1963;1990;1676898;0
20140721;1986,6;1991,5;1936,2;1940;1234420;1
20140722;1954;1978,8;1951;1970;1393861;0
20140723;2006,4;2006,4;1964,6;1980,5;884278;1
20140724;1965,6;2005;1965,6;2005;1001003;0
20140725;2000,1;2004;1970,1;1976,7;1056643;0
20140728;1967,5;1979,7;1948;1957;843184;1
20140729;1963,4;1985;1951,5;1975;844187;1
20140730;1966;2040;1962,2;2005,3;1591992;0
20140731;2007,5;2025;1990,5;2000,9;1053071;0
20140801;1998;2004,3;1973,5;1995,3;741881;0
20140804;2001,8;2009,9;1966;1984,9;735068;0
20140805;1985,3;1986,9;1957;1957;708207;0
20140806;1957;1983,9;1926,7;1929,8;1208890;1
20140807;1921;1949;1911,5;1932,7;971939;0
20140808;1935;1974;1924,9;1928,3;1281580;0
20140811;1962;1963;1941,1;1947,1;1002131;1
20140812;1952,8;1973,7;1944,2;1953,7;853532;1
20140813;1954,4;1988,2;1954,4;1974,9;1085504;1
20140814;1973,5;2002,1;1966,5;1991;1014262;1
20140815;1991,7;2026,2;1988;2011,1;1019061;1
20140818;2016,4;2043;2009,1;2043;352191;1
20140819;2043;2076,7;2043;2063,9;792281;1
20140820;2060;2086,5;2053;2085;969786;1
20140821;2080;2108,7;2080;2100,6;792093;0
20140822;2100;2100,5;2058,3;2085;689251;1
20140825;2069,4;2092;2069,4;2088;292630;1
20140826;2048,4;2096,8;2048,4;2068;653404;1
20140827;2073,2;2107,1;2067,4;2096,5;586592;1
20140828;2052,5;2096,1;2052,5;2083;1194636;0
20140829;2074,1;2094,2;2054,9;2055;1009544;1
20140901;1985,3;2097,3;1985,3;2034,9;1071060;1
20140902;2016,1;2050,9;2016,1;2042,1;670447;1
20140903;2044;2127;2041,1;2115;1962280;1
20140904;2115,5;2134,9;2106,5;2131,5;993246;1
20140905;2120;2169,4;2114,1;2163;955277;0
20140908;2157;2179;2146;2153,3;1072894;1
20140909;2153;2172;2150,7;2163,6;558755;1
20140910;2157;2169;2151,2;2163;602117;0
20140911;2174,8;2174,8;2148,7;2149,2;890331;1
20140912;2151,1;2194,7;2143,2;2163,1;1150537;1
20140915;2156,9;2183;2154;2174,9;1790034;1
20140916;2169,5;2199;2166,2;2185;1004336;0
20140917;2185;2197,7;2130;2141,5;1360520;0
20140918;2142,1;2155;2117,4;2130;778862;0
20140919;2129,9;2130,8;2065;2071;1895677;0
20140922;2069,4;2090;2047,7;2050;833702;0
20140923;2058,6;2068,6;2030,1;2049,6;1516474;1
20140924;2055;2072,6;2046,6;2059,1;1011822;0
20140925;2065,7;2087,8;2043,5;2043,5;1242759;1
20140926;2040;2074,8;2033,7;2064,9;991570;0
20140929;2066;2085;2004;2007,9;1207236;0
20140930;2016,9;2049,1;1999,3;2015;1218547;0
20141001;2010;2028,3;1990;1993,5;1070123;0
20141002;1988;2003,7;1960,5;1964;1444474;1
20141003;1975;2010;1972,4;1990;1008988;1
20141006;2000,2;2052;2000,2;2042;852036;0
20141007;2042;2045;2004,4;2007,6;804431;0
20141008;1995;2009,5;1976;1976;1342358;0
20141009;1999,1;2024;1971,1;1980;1267299;0
20141010;1965;1971,7;1921;1925,1;1502941;1
20141013;1916;1995;1913;1978;1290556;1
20141014;1982,9;2040,2;1978,4;2005,4;1598011;0
20141015;2004;2009;1970,4;1980;1347161;0
20141016;1982;2005;1945,7;1955;1504249;1
20141017;1974;2003;1965,6;1986,6;1226169;0
20141020;1994,7;2003;1972;1978;1139845;1
20141021;1926,1;1998,3;1926,1;1990;1275039;0
20141022;1994,9;2009;1958,5;1964,9;1706310;0
20141023;1963;1968,3;1916,7;1932,3;1602278;1
20141024;1930,4;1957,5;1917,8;1948,5;932438;1
20141027;1960;2003,8;1960;1991,9;1385211;1
20141028;1995,5;2034,6;1995,5;2014;1200225;1
20141029;2020;2042,5;1993;2042,5;1669036;1
20141030;2034,1;2069,9;2011;2055;2035665;1
20141031;2064,2;2120;2051;2120;2829582;1
20141103;2116,4;2124,7;2100,2;2117;649159;1
20141105;2102,9;2133,5;2072,2;2127,7;1820616;1
20141106;2120,5;2169;2120,5;2132,7;1685405;0
20141107;2139,5;2178;2120;2126,5;2796778;0
20141110;2145;2160;2122;2139,9;1755155;0
20141111;2145,5;2163,7;2125,1;2125,1;930388;0
20141112;2127,9;2149,6;2113,2;2126;1075546;0
20141113;2132,2;2147,9;2078,2;2083,6;1211441;1
20141114;2076;2099;2065;2084;1281024;1
20141117;2081,7;2102,7;2071,4;2085;753096;1
20141118;2097,4;2144,7;2065,1;2132,3;1633097;1
20141119;2134;2180;2128,1;2180;1086397;1
20141120;2180;2233,8;2180;2230;1270047;1
20141121;2236;2291;2205,2;2280,4;1519743;0
20141124;2280,5;2293,9;2245,2;2261,3;932560;0
20141125;2259,2;2281,5;2232,9;2259,1;985441;1
20141126;2253,5;2280;2245,2;2280;1240385;1
